NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N
8590943,3433,,,"Winterthur, Freizeitanlage",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"5,N1",2695026,1259311
8507307,7049,,,"Hettlingen, Gemeindehaus",Hettlingen,Bus,&nbsp;,0,,160,2,Bus,"671,677",2695265,1266841
8590939,839,,,"Winterthur, Feldtal",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"2,22,N2",2695668,1262710
8590920,6619,,,"Winterthur, Bahnhof Töss",Winterthur,Bus,&nbsp;,0,,120,2,Bus,EV,2695799,1260640
8590945,936,,,"Winterthur, Gaswerk",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"1,5,660,7,N1,N66,N7",2695860,1261135
8593247,6705,,,"Winterthur, Schachenweg",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"3,N3,N63",2696514,1263589
8576181,2610,,,"Winterthur, Sulzer",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"1,5,7,N1,N7",2696530,1261642
8573693,889,,,"Winterthur, Friedhof",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"3,N3,N63",2696644,1263347
8590966,1350,,,"Winterthur, Jonas Furrer",Winterthur,Bus,&nbsp;,0,,120,2,Bus,4,2696695,1260779
8573691,2430,,,"Winterthur, Spital",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"3,674,676,N3,N63",2697172,1262432
8594297,6783,,,"Seuzach, Breitestrasse",Seuzach,Bus,&nbsp;,0,,160,2,Bus,"674,N63",2697202,1265746
8573656,1817,,,"Winterthur, Obertor",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"1,5,680,7,N1,N68",2697538,1261910
8590967,1360,,,"Winterthur, Kantonsschule",Winterthur,Bus,&nbsp;,0,,120,2,Bus,10,2697975,1262378
8590977,1774,,,"Winterthur, Oberes Büel",Winterthur,Bus,&nbsp;,0,,120,2,Bus,10,2698861,1262714
8576301,346,,,"Thalheim-Altikon, Bahnhof",Thalheim an der Thur,Bus,&nbsp;,0,,160,2,Bus,"612,N61",2699269,1269620
8508011,6799,,,"Sennhof-Kyburg, Bhf",Kyburg,,&nbsp;,0,,120,99,,,2699538,1258044
8580495,6155,,,"Winterthur, Sennhof",Winterthur,Bus,&nbsp;,0,,120,2,Bus,N68,2699592,1258183
8506003,12376,,,Sennhof-Kyburg,Luckhausen,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,120,1,Bahn,"S11,S26",2699645,1257998
8591017,2987,,,"Winterthur, Zentrum Seen",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"2,9,N2",2699842,1260173
8590985,1982,,,"Winterthur, Post Seen",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"3,9,N3",2699972,1260315
8506002,12930,,,Winterthur Seen,Winterthur,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,120,1,Bahn,"S11,S26",2700080,1260466
8596077,7011,,,"Winterthur, Schulhaus Neuhegi",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"7,N67,N7",2700098,1262200
8573202,2824,,,Waltalingen,Waltalingen,Bus,&nbsp;,0,,162,2,Bus,"605,N65",2700740,1275542
8581755,6320,,,"Winterthur, Hegi im Gern",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"7,N67,N7",2700814,1262470
8573662,1019,,,"Winterthur, Gotzenwil",Winterthur,Bus,&nbsp;,0,,120,2,Bus,9,2700920,1258909
8576302,85,,,"Altikon, Brückenwaage",Altikon,Bus,&nbsp;,0,,163,2,Bus,"615,N61",2701085,1270018
8573311,2065,,,"Rickenbach-Attikon, Bahnhof",Rickenbach ZH,Bus,&nbsp;,0,,163,2,Bus,"615,N61",2701704,1265851
8506954,1961,,,"Oberstammheim, Post",Oberstammheim,Bus,&nbsp;,0,,162,2,Bus,"605,N65",2701934,1276811
8573666,765,,,"Winterthur, Eidberg",Winterthur,Bus,&nbsp;,0,,120,2,Bus,9,2702247,1258996
8581612,3690,,,"Elgg, Obergasse",Elgg,Bus,&nbsp;,0,,164,2,Bus,681,2707832,1261015
8506100,10873,,,Frauenfeld,Frauenfeld,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,,1,Bahn,"S24,S30",2709700,1268500
8506012,13760,,,Guntershausen,Aadorf,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,,1,Bahn,"S12,S35",2711400,1259200
8503225,13731,,,Ziegelbrücke,Ziegelbrücke GL,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,,1,Bahn,"S2,S25,S8",2722990,1221842
8506206,13763,,,Wil SG,Wil SG,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,,1,Bahn,"S12,S35",2720850,1258125
8573645,875,,,"Turbenthal, Freckmünd",Turbenthal,Bus,&nbsp;,0,,171,2,Bus,807,2709612,1252539
8573523,1951,,,"Turbenthal, Neubrunn",Turbenthal,Bus,&nbsp;,0,,171,2,Bus,806,2709744,1255337
8573524,2354,,,"Turbenthal, Seelmatten",Turbenthal,Bus,&nbsp;,0,,171,2,Bus,806,2709860,1256906
8578537,6355,,,"Wagen, Alte Post",Wagen,,&nbsp;,0,,180,99,,,2709875,1232140
8577344,4810,,,"Wald ZH, Etzelstrasse",Wald ZH,Bus,&nbsp;,0,,134,2,Bus,893,2710870,1237275
8573648,2403,,,"Sitzberg, Sternen",Sitzberg,Bus,&nbsp;,0,,171,2,Bus,807,2711206,1253566
